"STATEICP","COUNTYICP","AGE","RACE","RACED"\
5,70,52,8,830\
5,70,43,2,200\
5,70,18,2,200\
5,70,13,2,200\
5,70,92,1,100\
5,70,90,1,100\
5,70,55,8,826\
5,70,57,1,100\
5,90,36,1,100\
5,90,43,1,100\
5,90,13,1,100\
5,90,12,1,100\
5,90,8,1,100\
5,90,63,1,100\
5,90,63,1,100\
5,30,35,1,100\
5,30,35,1,100\
5,30,7,1,100\
5,30,5,1,100\
5,30,2,1,100\
5,70,44,1,100\
5,70,9,1,100\
5,70,72,1,100\
5,30,40,1,100\
5,30,18,1,100\
5,30,15,1,100\
5,30,64,1,100\
5,70,26,1,100\
5,70,23,1,100\
5,70,4,1,100\
5,70,60,1,100\
5,70,78,3,362\
5,0,36,6,620\
5,0,35,6,620\
5,0,7,6,620\
5,0,6,6,620\
5,0,43,2,200\
5,0,46,2,200\
5,0,54,7,700\
5,0,49,7,700\
5,0,8,7,700\
5,70,24,2,200\
5,70,26,8,813\
5,70,26,1,100\
5,70,26,1,100\
5,70,25,1,100\
5,70,51,1,100\
5,70,56,1,100\
5,70,26,1,100\
5,70,24,1,100\
5,70,10,1,100\
5,30,61,1,100\
5,30,63,1,100\
5,70,52,1,100\
5,70,45,1,100\
5,70,41,1,100\
5,70,11,1,100\
5,70,8,1,100\
5,30,66,1,100\
5,30,67,1,100\
5,30,35,1,100\
5,30,50,1,100\
5,70,70,1,100\
5,70,53,7,700\
5,70,25,6,630\
5,70,7,1,100\
5,0,66,1,100\
5,0,70,1,100\
5,90,85,1,100\
5,90,81,1,100\
5,70,69,1,100\
5,0,64,1,100\
5,70,60,1,100\
5,70,57,1,100\
5,70,26,1,100\
5,70,30,1,100\
5,70,71,1,100\
5,70,77,1,100\
5,70,49,1,100\
5,70,34,1,100\
5,70,30,1,100\
5,70,36,1,100\
5,70,41,1,100\
5,70,15,1,100\
5,70,11,1,100\
5,70,7,1,100\
5,90,25,9,901\
5,90,6,9,901\
5,70,79,1,100\
5,70,66,1,100\
5,70,60,1,100\
5,90,78,1,100\
5,90,77,1,100\
5,70,58,1,100\
5,0,66,1,100\
5,0,34,1,100\
5,0,38,1,100\
5,0,6,1,100\
5,0,4,1,100\
5,70,60,1,100\
5,70,35,1,100\
5,70,34,1,100\
5,70,57,1,100\
5,70,54,1,100\
5,70,60,1,100\
5,70,86,1,100\
5,70,72,1,100\
5,70,73,1,100\
5,90,24,1,100\
5,90,30,1,100\
5,30,29,6,600\
5,30,31,8,826\
5,30,16,1,100\
5,30,30,1,100\
5,70,65,1,100\
5,30,80,1,100\
5,30,68,1,100\
5,30,69,1,100\
5,70,39,7,700\
5,70,44,7,700\
5,70,16,3,399\
5,70,11,3,399\
5,90,81,1,100\
5,90,79,1,100\
5,90,74,1,100\
5,90,74,1,100\
5,70,62,1,100\
5,70,69,1,100\
5,70,72,1,100\
5,70,73,1,100\
5,70,76,1,100\
5,70,25,1,100\
5,70,27,1,100\
5,70,22,1,100\
5,70,40,1,100\
5,30,53,1,100\
5,30,44,1,100\
5,30,19,1,100\
5,30,18,1,100\
5,30,44,1,100\
5,30,15,1,100\
5,30,14,1,100\
5,70,72,1,100\
5,70,70,1,100\
5,70,43,1,100\
5,90,96,4,410\
5,0,69,1,100\
5,70,29,1,100\
5,70,29,1,100\
5,70,29,1,100\
5,0,63,1,100\
5,0,70,1,100\
5,0,28,1,100\
5,70,23,1,100\
5,70,3,1,100\
5,70,64,1,100\
5,70,63,1,100\
5,70,41,2,200\
5,70,34,2,200\
5,30,78,1,100\
5,30,30,1,100\
5,30,32,1,100\
5,70,75,1,100\
5,70,81,1,100\
5,70,42,1,100\
5,70,44,1,100\
5,70,12,1,100\
5,70,8,1,100\
5,70,5,1,100\
5,70,35,7,700\
5,70,18,7,700\
5,70,17,7,700\
5,70,14,7,700\
5,70,12,7,700\
5,70,55,1,100\
5,70,21,1,100\
5,70,18,1,100\
5,70,14,1,100\
5,70,63,1,100\
5,70,66,1,100\
5,70,63,2,200\
5,90,63,1,100\
5,70,85,1,100\
5,30,52,1,100\
5,30,53,1,100\
5,0,73,1,100\
5,70,25,1,100\
5,90,60,1,100\
5,90,66,1,100\
5,30,39,1,100\
5,30,6,1,100\
5,30,3,1,100\
5,70,67,2,200\
5,70,57,2,200\
5,70,52,1,100\
5,70,52,1,100\
